===== VARIABLES =====
351 int_lin_eq_reif: Variables [54,38,11] | Constants [1,-1,1,1,1]
352 int_eq_reif: Variables [39,79,12] | Constants []
353 int_eq_reif: Variables [55,80,13] | Constants []
354 int_lin_eq_reif: Variables [55,39,14] | Constants [1,-1,1,1,1]
355 int_eq_reif: Variables [40,81,15] | Constants []
356 int_eq_reif: Variables [56,82,16] | Constants []
357 int_lin_eq_reif: Variables [56,40,17] | Constants [1,-1,1,1,1]
358 int_eq_reif: Variables [41,83,18] | Constants []
359 int_eq_reif: Variables [57,84,19] | Constants []
360 int_lin_eq_reif: Variables [57,41,20] | Constants [1,-1,1,1,1]
361 int_eq_reif: Variables [42,85,21] | Constants []
362 int_eq_reif: Variables [58,86,22] | Constants []
363 int_lin_eq_reif: Variables [58,42,23] | Constants [1,-1,1,1,1]
364 int_eq_reif: Variables [43,87,24] | Constants []
365 int_eq_reif: Variables [59,88,25] | Constants []
366 int_lin_eq_reif: Variables [59,43,26] | Constants [1,-1,1,1,1]
367 int_eq_reif: Variables [44,89,27] | Constants []
368 int_eq_reif: Variables [60,90,28] | Constants []
369 int_lin_eq_reif: Variables [60,44,29] | Constants [1,-1,1,1,1]
370 int_eq_reif: Variables [45,91,30] | Constants []
371 int_eq_reif: Variables [61,92,31] | Constants []
372 int_lin_eq_reif: Variables [61,45,32] | Constants [1,-1,1,1,1]
373 int_eq_reif: Variables [46,93,33] | Constants []
374 int_eq_reif: Variables [62,94,34] | Constants []
375 int_lin_eq_reif: Variables [62,46,35] | Constants [1,-1,1,1,1]
376 int_eq_reif: Variables [47,95,36] | Constants []
377 int_eq_reif: Variables [63,96,37] | Constants []
378 int_lin_eq_reif: Variables [63,47,38] | Constants [1,-1,1,1,1]
379 int_eq_reif: Variables [48,97,39] | Constants []
380 int_eq_reif: Variables [64,98,40] | Constants []
381 int_lin_eq_reif: Variables [64,48,41] | Constants [1,-1,1,1,1]
382 int_eq_reif: Variables [49,99,42] | Constants []
383 int_eq_reif: Variables [65,100,43] | Constants []
384 int_lin_eq_reif: Variables [65,49,44] | Constants [1,-1,1,1,1]
385 int_eq_reif: Variables [50,101,45] | Constants []
386 int_eq_reif: Variables [66,102,46] | Constants []
387 int_lin_eq_reif: Variables [66,50,47] | Constants [1,-1,1,1,1]
===== SEARCH =====
Problem: Minimization (Objective var 34)
Decision variables: [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
Variable selection: FirstFail
Value selection: IndomainMin
